Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10uf 402,C_0402_1005Metric,279.728314,-6.826557,-90.000000,bottom
C2,22pf 0402,C_0402_1005Metric,292.203314,2.948443,0.000000,bottom
C3,1uf 0201,C_0201_0603Metric,279.628314,-1.901557,180.000000,bottom
C4,10uf 0402,C_0402_1005Metric,279.728314,-4.926557,-90.000000,bottom
C5,100nf 0201,C_0201_0603Metric,265.803314,5.623443,180.000000,bottom
C6,100nf 0201,C_0201_0603Metric,279.653314,-0.001557,180.000000,bottom
C7,100nf 0201,C_0201_0603Metric,289.678314,-0.726557,0.000000,bottom
C8,100nf 0201,C_0201_0603Metric,281.603314,-4.926557,-90.000000,bottom
C10,1uf 0201,C_0201_0603Metric,279.608314,-2.601557,180.000000,bottom
C11,100nf 0201,C_0201_0603Metric,279.603314,-3.301557,180.000000,bottom
C13,100nf 0201,C_0201_0603Metric,279.653314,-0.751557,180.000000,bottom
C14,100nf 0201,C_0201_0603Metric,289.678314,0.023443,0.000000,bottom
C15,100nf 0201,C_0201_0603Metric,281.053314,4.448443,180.000000,bottom
C16,100nf 0201,C_0201_0603Metric,285.478314,4.798443,90.000000,bottom
C18,100nf 0201,C_0201_0603Metric,285.478314,-4.941557,-90.000000,bottom
C19,22pf 0402,C_0402_1005Metric,293.653314,-2.276557,180.000000,bottom
CBP1,10uf 0402,C_0402_1005Metric,275.278314,-4.576557,-90.000000,bottom
D1,1N4148,hybrid_DIODE_sans,19.050016,-12.501573,90.000000,bottom
D2,1N4148,hybrid_DIODE_sans,62.507865,-12.501573,90.000000,bottom
D3,1N4148,hybrid_DIODE_sans,100.607897,-12.501573,90.000000,bottom
D4,1N4148,hybrid_DIODE_sans,144.065746,-12.501573,90.000000,bottom
D5,1N4148,hybrid_DIODE_sans,182.165778,-12.501573,90.000000,bottom
D6,1N4148,hybrid_DIODE_sans,225.623627,-12.501573,90.000000,bottom
D7,1N4148,hybrid_DIODE_sans,263.723659,-12.501573,90.000000,bottom
D8,1N4148,hybrid_DIODE_sans,296.465874,-9.525008,90.000000,bottom
D9,1N4148,hybrid_DIODE_sans,315.515890,-9.525008,90.000000,bottom
D10,1N4148,hybrid_DIODE_sans,334.565906,-9.525008,90.000000,bottom
D11,1N4148,hybrid_DIODE_sans,353.615922,-9.525008,90.000000,bottom
D12,1N4148,hybrid_DIODE_sans,43.457849,-12.501573,90.000000,bottom
D13,1N4148,hybrid_DIODE_sans,81.557881,-12.501573,90.000000,bottom
D14,1N4148,hybrid_DIODE_sans,125.015730,-12.501573,90.000000,bottom
D15,1N4148,hybrid_DIODE_sans,163.115762,-12.501573,90.000000,bottom
